,Id
0,143
1,144
2,147
3,148
4,180
5,183
6,189
7,325
8,329
9,333
10,365
11,397
12,398
13,641
14,700
15,1554
16,1624
17,1641
18,1850
19,1851
20,1852
21,1853
22,1959
23,2152
24,2180
25,2181
26,2283
27,2291
28,2345
29,2346
30,2351
31,2353
32,2595
33,2643
34,2648
35,2649
36,2650
37,2656
38,2657
39,2678
40,2679
41,2687
42,2688
43,2719
44,2721
45,2722
46,2723
47,2742
48,2772
49,2773
50,2802
51,2903
52,2904
53,2920
54,3021
55,3022
56,3023
57,3024
58,3025
59,3026
60,3027
61,3028
62,3029
63,3043
64,3102
65,3103
66,3105
67,3106
68,3108
69,3109
70,3118
71,3119
72,3125
73,3126
74,3127
75,3132
76,3133
77,3135
78,3136
79,3144
80,3145
81,3151
82,3152
83,3153
84,3154
85,3158
86,3160
87,3161
88,3162
89,3176
90,3181
91,3185
92,3186
93,3189
94,3190
95,3191
96,3192
97,3193
98,3194
99,3197
100,3198
101,3199
102,3200
103,3205
104,3206
105,3211
106,3212
107,3215
108,3216
109,3217
110,3219
111,3220
112,3224
113,3231
114,3234
115,3235
116,3248
117,3249
118,3260
119,3261
120,3265
121,3267
122,3268
123,3269
124,3270
125,3292
126,3293
127,3294
128,3297
129,3298
130,3299
131,3300
132,3301
133,3302
134,3303
135,3304
